Date,AAPL,AMZN,GOOGL,JNJ,JPM,MSFT,TSLA
2022-07-01,7654.05,6429.41,7499.58,10600.06,7148.06,7788.58,5682.63
2022-07-05,7798.95,6660.62,7811.7,10518.57,7120.87,7886.69,5827.74
2022-07-06,7873.87,6709.33,7901.98,10528.02,7074.71,7987.5,5794.4
2022-07-07,8062.84,6826.7,8192.41,10539.83,7253.65,8053.22,6114.7
2022-07-08,8100.85,6780.34,8231.76,10526.84,7230.89,8031.01,6270.23
2022-07-11,7981.3,6557.93,7978.16,10530.97,7136.04,7936.5,5859.66
2022-07-12,8035.85,6409.46,7863.94,10383.36,7143.0,7611.25,5827.82
2022-07-13,8015.46,6478.7,7680.0,10359.15,7075.98,7582.74,5927.09
2022-07-14,8179.64,6492.2,7612.0,10373.32,6828.75,7623.55,5958.93
2022-07-15,8273.3,6663.56,7709.24,10523.89,7141.74,7702.76,6002.77
2022-07-18,8102.51,6675.88,7519.75,10287.7,7068.39,7628.65,6014.77
2022-07-19,8319.02,6937.02,7849.43,10137.72,7243.53,7787.07,6139.38
2022-07-20,8431.41,7204.62,7855.63,10079.86,7242.27,7869.29,6188.63
2022-07-21,8558.68,7313.77,7885.98,10115.28,7291.59,7946.4,6793.91
2022-07-22,8489.26,7184.08,7441.82,10163.11,7256.18,7811.98,6807.33
2022-07-25,8426.46,7108.97,7414.92,10183.19,7285.26,7766.07,6712.06
2022-07-26,8352.08,6737.5,7243.18,10255.22,7171.45,7558.14,6472.69
2022-07-27,8638.01,7098.99,7797.7,10226.88,7286.53,8063.42,6871.76
2022-07-28,8668.86,7175.87,7877.7,10285.93,7259.34,8293.55,7023.79
2022-07-29,8953.14,7919.39,8022.54,10304.82,7294.12,8423.47,7430.11
2022-08-01,8898.05,7945.21,7921.84,10268.81,7221.4,8341.56,7433.28
2022-08-02,8815.41,7873.03,7940.46,10210.35,7108.86,8245.85,7516.04
2022-08-03,9152.58,8187.58,8143.92,10308.96,7183.47,8475.38,7686.33
2022-08-04,9134.95,8366.56,8151.51,10143.63,7104.43,8510.78,7717.25
2022-08-05,9122.26,8262.69,8101.85,10103.47,7319.41,8488.58,7205.57
2022-08-08,9095.78,8181.12,8090.13,10049.74,7230.26,8410.87,7261.91
2022-08-09,9098.54,8088.4,8043.92,10048.56,7295.38,8470.28,7084.63
2022-08-10,9336.87,8373.61,8255.66,10077.49,7485.7,8676.11,7360.27
2022-08-11,9295.49,8253.3,8196.34,9869.06,7596.35,8611.9,7167.06
2022-08-12,9494.65,8424.07,8392.22,9760.41,7722.18,8758.62,7502.13
2022-08-15,9554.79,8402.36,8419.8,9807.06,7743.04,8805.43,7734.42
2022-08-16,9545.96,8496.25,8393.59,9894.45,7817.02,8782.63,7665.49
2022-08-17,9629.82,8338.98,8245.31,9895.04,7751.27,8759.47,7601.31
2022-08-18,9607.75,8350.72,8288.07,9847.21,7691.2,8724.89,7573.14
2022-08-19,9462.65,8111.87,8083.92,9997.19,7500.88,8604.02,7418.03
2022-08-22,9244.74,7817.87,7879.08,9962.12,7376.95,8351.45,7249.16
